,Scientific_name,Family,Functional_type,Functional_groups,Palatability
1,Acalypha scabrosa Sw.,Euphorbiaceae,Annual,Forb,No
2,Afrohybanthus enneaspermus (L.) Flicker,Violaceae,Perennial,Forb,Yes
3,Ageratum conyzoides L.,Asteraceae,Annual,Forb,No
4,Alysicarpus monilifer (L.) DC.,Fabaceae,Annual,Forb,Yes
5,Andrographis echioides (L.) Nees,Acanthaceae,Annual,Forb,Yes
6,Apluda mutica L.,Poaceae,Perennial,Graminoid,Yes
7,Apocopis mangalorensis (Hochst. ex Steud.) Henrard,Poaceae,Annual,Graminoid,Yes
8,Aristida adscensionis L.,Poaceae,Annual,Graminoid,Yes
9,Aristida funiculata Trin. & Rupr.,Poaceae,Annual,Graminoid,Yes
10,Aristida hystrix L.f.,Poaceae,Perennial,Graminoid,Yes
11,Aristida redacta Stapf,Poaceae,Annual,Graminoid,Yes
12,Aristida setacea Retz.,Poaceae,Annual,Graminoid,Yes
13,Arundinella nervosa (Roxb.) Nees ex Hook. & Arn.,Poaceae,Annual,Graminoid,Yes
14,Boerhavia diffusa L.,Nyctaginaceae,Perennial,Forb,No
15,Bothriochloa pertusa (L.) A.Camus,Poaceae,Perennial,Graminoid,Yes
16,Bulbostylis barbata (Rottb.) C.B.Clarke,Cyperaceae,Annual,Graminoid,Yes
17,Cajanus scarabaeoides (L.) Thouars,Fabaceae,Annual,Forb,Yes
18,Celosia argentea L.,Amaranthaceae,Annual,Forb,Yes
19,Chamaecrista absus (L.) H.S.Irwin & Barneby,Fabaceae,Annual,Forb,Yes
20,Chamaecrista pumila (Lam.) V.Singh,Fabaceae,Annual,Forb,Yes
21,Chrysopogon fulvus (Spreng.) Chiov.,Poaceae,Perennial,Graminoid,Yes
22,Crotalaria evolvuloides Wight,Fabaceae,Perennial,Forb,Yes
23,Crotalaria hebecarpa (DC.) Rudd,Fabaceae,Annual,Forb,Yes
24,Cyanotis tuberosa (Roxb.) Schult. & Schult.f.,Commelinaceae,Perennial,Forb,No
25,Cyanthillium albicans (DC.) H.Rob.,Asteraceae,Annual,Forb,Yes
26,Cyanthillium cinereum (L.) H.Rob.,Asteraceae,Annual,Forb,Yes
27,Cymbopogon jwarancusa (Jones) Schult,Poaceae,Perennial,Graminoid,No
28,Cymbopogon martinii (Roxb.) J. F. Watson,Poaceae,Perennial,Graminoid,No
29,Cymbopogon caesius (Hook. & Arn.) Stapf,Poaceae,Perennial,Graminoid,No
30,Cymbopogon coloratus (Hook.f.) Stapf,Poaceae,Perennial,Graminoid,No
31,Eragrostiella bifaria (Vahl) Bor,Poaceae,Perennial,Graminoid,Yes
32,Eragrostis tenella (L.) P.Beauv. ex Roem. & Schult.,Poaceae,Annual,Graminoid,Yes
33,Euphorbia deccanensis V.S.Raju,Euphorbiaceae,Annual,Forb,Yes
34,Euphorbia rosea Retz.,Euphorbiaceae,Annual,Forb,Yes
35,Evolvulus alsinoides (L.) L.,Convolvulaceae,Perennial,Forb,Yes
36,Heteropogon contortus (L.) P.Beauv. ex Roem. & Schult.,Poaceae,Perennial,Graminoid,Yes
37,Hibiscus lobatus (Murray) Kuntze,Malvaceae,Annual,Forb,No
38,Indigofera glabra L.,Fabaceae,Annual,Forb,Yes
39,Indigofera linifolia (L.f.) Retz.,Fabaceae,Annual,Forb,Yes
40,Justicia vahliana Schult.,Acanthaceae,Annual,Forb,Yes
41,Lepidagathis cristata Willd.,Acanthaceae,Perennial,Forb,Yes
42,Leucas aspera (Willd.) Link,Lamiaceae,Annual,Forb,No
43,Leucas zeylanica (L.) W.T.Aiton,Lamiaceae,Annual,Forb,No
44,Mitracarpus hirtus (L.) DC.,Rubiaceae,Annual,Forb,Yes
45,Oldenlandia umbellata L.,Rubiaceae,Annual,Forb,Yes
46,Parasopubia delphiniifolia (L.) H.-P.Hofm. & Eb.Fisch.,Orobanchaceae,Annual,Forb,Yes
47,Phyllanthus virgatus G.Forst.,Phyllanthaceae,Annual,Forb,Yes
48,Polycarpaea corymbosa (L.) Lam.,Caryophyllaceae,Annual,Forb,Yes
49,Polygala javana DC.,Polygalaceae,Annual,Forb,Yes
50,Pulicaria wightiana (DC.) C.B.Clarke,Asteraceae,Annual,Forb,Yes
51,Rhynchosia rufescens DC.,Fabaceae,Perennial,Forb,Yes
52,Rhynchosia suaveolens (L.f.) DC.,Fabaceae,Perennial,Forb,Yes
53,Rostellularia obtusa Nees,Acanthaceae,Annual,Forb,Yes
54,Sehima nervosa (Rottler) Stapf,Poaceae,Annual,Graminoid,Yes
55,Sesamum prostratum Retz.,Pedaliaceae,Annual,Forb,Yes
56,Spermacoce hispida L.,Rubiaceae,Annual,Forb,Yes
57,Spermacoce pusilla Wall.,Rubiaceae,Annual,Forb,Yes
