Family,Scientific name,FT,FG,P,Telugu name, L,Plant part,Stage,"Number 
of 
months",Score
Euphorbiaceae,Acalypha scabrosa Sw.,A,F,N,"Murupinda, Kuppinta",,,,,4
Asteraceae,Ageratum conyzoides L.,A,F,N,"Poka banti, Banti",,,,,4
Fabaceae,Alysicarpus monilifer (L.) DC.,A,F,Y,"Adavi pesulu, Chappakatetega","S, G, C",Above ground part,All stages (Young and dry),12,1
Acanthaceae,Andrographis echioides (L.) Nees,A,F,Y,Bhoodaraaaku,G,Young leaves and tender shoot,When young (June to September),4,2
Poaceae,Apluda mutica L.,P,G,Y,Errakaasi,"S, G, C",Above ground part,All stages (Young and dry),12,1
Poaceae,Apocopis mangalorensis (Hochst. ex Steud.) Henrard,A,G,Y,Kondagaddi,"S, G, C",Above ground part,All stages (Young and dry),12,1
Poaceae,Aristida adscensionis L.,A,G,Y,Sannaoopa,S,Above ground part,Preferred only when young (July-August),2,3
Poaceae,Aristida funiculata Trin. & Rupr.,A,G,Y,Sannaoopa,S,Above ground part,Preferred only when young (July-August),2,3
Poaceae,Aristida hystrix L.f.,P,G,Y,Chepattinagadi/Chimpergadi,"S, G, C",Above ground part,All stages (Young and dry),12,1
Poaceae,Aristida redacta Stapf,A,G,Y,Parakkaoosa,S,Above ground part till flowering,"Preferred when young (July-September), awns are too sharp, less digestible after September",4,2
Poaceae,Aristida setacea Retz.,A,G,Y,Parakkaoosa,S,Above ground part till flowering,"Preferred when young, eaten dry when other fodder is not available",4,2
Poaceae,Arundinella nervosa (Roxb.) Nees ex Hook. & Arn.,A,G,Y,Bandassamegaddi,"S, G, C",Above ground part,All stages (Young and dry),12,1
Nyctaginaceae,Boerhavia diffusa L.,P,F,N,Sannaakku tella poovu,,,,,4
Poaceae,Bothriochloa pertusa (L.) A.Camus,P,G,Y,Chenugaddi,"S, G, C",Above ground part,All stages (Young and dry),12,1
Cyperaceae,Bulbostylis barbata (Rottb.) C.B.Clarke,A,G,Y,Ghanda,"S, C",Above ground part,July to October,4,2
Fabaceae,Cajanus scarabaeoides (L.) Thouars,A,F,Y,"Adavi uluva, Ariuluva","S, G, C",Above ground part,All stages (Young and dry),12,1
Amaranthaceae,Celosia argentea L.,A,F,Y,Gurugu,"S, G, C",Above ground part,All stages (Young and dry),12,1
Fabaceae,Chamaecrista absus (L.) H.S.Irwin & Barneby,A,F,Y,"Uluvachettu, Chanupala","S, G, C",Above ground part,All stages (Young and dry),12,1
