Village,Treatment,Site,Sci_name,Palatability,Weight,Scientific_name,Family,Life_form,General_terms,x,y,Functional_type,Functional_groups
APA1,bgrnf,APA1bgrnf,Acalypha alnifolia,No,4,Acalypha scabrosa Sw.,Euphorbiaceae,Herb,Milkweeds,13.84898235,78.4284124,Annual undershrub,Forb
APC1,bgrnf,APC1bgrnf,Acalypha alnifolia,No,20,Acalypha scabrosa Sw.,Euphorbiaceae,Herb,Milkweeds,13.84873331,78.42895372,Annual undershrub,Forb
APA17,bgrnf,APA17bgrnf,Hybanthus enneaspermus,Yes,5,Hybanthus enneaspermus (L.) F. Muell.,Violaceae,Herb,Violet family,14.1183527,78.3349066,Perennial herb,Forb
APC10,bgrnf,APC10bgrnf,Hybanthus enneaspermus,Yes,5,Hybanthus enneaspermus (L.) F. Muell.,Violaceae,Herb,Violet family,13.8647888,78.3988028,Perennial herb,Forb
APC3,bgrnf,APC3bgrnf,Ageratum conyzoides,No,170,Ageratum conyzoides L.,Asteraceae,Herb,Asters,13.82903847,78.41240476,Annual herb,Forb
APA12,bgrnf,APA12bgrnf,Alysicarpus monilifer,Yes,8,Alysicarpus monilifer (L.) DC.,Fabaceae,Herb,Legumes,14.0406286,78.3174365,Annual herb,Forb
APA21,bgrnf,APA21bgrnf,Alysicarpus monilifer,Yes,17,Alysicarpus monilifer (L.) DC.,Fabaceae,Herb,Legumes,14.0087733,78.3203361,Annual herb,Forb
APC12,bgpnf,APC12bgpnf,Alysicarpus monilifer,Yes,12,Alysicarpus monilifer (L.) DC.,Fabaceae,Herb,Legumes,13.89265608,78.41413564,Annual herb,Forb
APC2,bgrnf,APC2bgrnf,Alysicarpus monilifer,Yes,54,Alysicarpus monilifer (L.) DC.,Fabaceae,Herb,Legumes,13.89582345,78.47713731,Annual herb,Forb
APC4,bgrnf,APC4bgrnf,Alysicarpus monilifer,Yes,23,Alysicarpus monilifer (L.) DC.,Fabaceae,Herb,Legumes,13.8435626,78.4210518,Annual herb,Forb
APC5,bgpnf,APC5bgpnf,Alysicarpus monilifer,Yes,20,Alysicarpus monilifer (L.) DC.,Fabaceae,Herb,Legumes,13.81476646,78.41896685,Annual herb,Forb
APA10,bgrnf,APA10bgrnf,Andrographis echioides,Yes,41,Andrographis echioides (L.) Nees,Acanthaceae,Herb,Acanthus family,14.01957255,78.38249092,Annual herb,Forb
APA16,bgrnf,APA16bgrnf,Andrographis echioides,Yes,17,Andrographis echioides (L.) Nees,Acanthaceae,Herb,Acanthus family,14.1162124,78.340371,Annual herb,Forb
APA17,bgpnf,APA17bgpnf,Andrographis echioides,Yes,16,Andrographis echioides (L.) Nees,Acanthaceae,Herb,Acanthus family,14.1182461,78.3338937,Annual herb,Forb
APA19,bgrnf,APA19bgrnf,Andrographis echioides,Yes,10,Andrographis echioides (L.) Nees,Acanthaceae,Herb,Acanthus family,14.05936089,78.34454953,Annual herb,Forb
