State,District,Habitation,Year,Plot_no,Latitude,Longitude,Fire
Andhra Pradesh,Chittoor,Bathinigaripalle,2017,1,13.89174,78.48111,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2019,1,13.89174,78.48111,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2018,1,13.89174,78.48111,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2017,2,13.89433,78.48267,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2019,2,13.89433,78.48267,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2018,2,13.89433,78.48267,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2017,3,13.89057,78.47945,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2018,3,13.89057,78.47945,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2019,3,13.89057,78.47945,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2017,4,13.88976,78.47719,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2019,4,13.88976,78.47719,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2018,4,13.88976,78.47719,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2017,5,13.8906,78.47656,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2019,5,13.8906,78.47656,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2018,5,13.8906,78.47656,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2017,6,13.89178,78.4767,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2018,6,13.89178,78.4767,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2019,6,13.89178,78.4767,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2017,7,13.89541,78.47718,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2018,7,13.89541,78.47718,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2019,7,13.89541,78.47718,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2017,8,13.89209,78.47854,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2018,8,13.89209,78.47854,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2019,8,13.89209,78.47854,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2017,9,13.89254,78.47958,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2018,9,13.89254,78.47958,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2019,9,13.89254,78.47958,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2017,10,13.89213,78.48101,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2018,10,13.89213,78.48101,Yes
Andhra Pradesh,Chittoor,Bathinigaripalle,2019,10,13.89213,78.48101,Yes
Andhra Pradesh,Anantapur,Bayareddipalle,2017,1,14.06402,78.32324,Yes
Andhra Pradesh,Anantapur,Bayareddipalle,2017,2,14.0652,78.32222,Yes
Andhra Pradesh,Anantapur,Bayareddipalle,2017,8,14.065765,78.32074167,Yes
Andhra Pradesh,Anantapur,Bayareddipalle,2017,7,14.06612667,78.32170833,Yes
Andhra Pradesh,Anantapur,Bayareddipalle,2017,9,14.06585667,78.3192,Yes
Andhra Pradesh,Anantapur,Bayareddipalle,2017,10,14.06622,78.32211,Yes
Andhra Pradesh,Anantapur,Bayareddipalle,2017,6,14.066285,78.32208667,Yes
Andhra Pradesh,Anantapur,Bayareddipalle,2017,5,14.065165,78.3222,Yes
Andhra Pradesh,Anantapur,Bayareddipalle,2017,4,14.06771,78.31779,Yes
Andhra Pradesh,Anantapur,Bayareddipalle,2017,3,14.06847,78.31858,Yes
Andhra Pradesh,Anantapur,Bayareddipalle,2019,7,14.06612667,78.32170833,Yes
Andhra Pradesh,Anantapur,Bayareddipalle,2019,10,14.06622,78.32211,No
Andhra Pradesh,Anantapur,Bayareddipalle,2018,4,14.06771,78.31779,Yes
Andhra Pradesh,Anantapur,Bayareddipalle,2018,5,14.065165,78.3222,Yes
Andhra Pradesh,Anantapur,Bayareddipalle,2018,8,14.065765,78.32074167,Yes
