"","Site","Treatment","n"
"1","APA1","ab",1
"2","APA1","bgrnf",1
"3","APA10","bgpnf",1
"4","APA10","bgrnf",1
"5","APA12","ab",1
"6","APA12","bgrnf",1
"7","APA15","bgpnf",1
"8","APA16","bgrnf",1
"9","APA17","bgpnf",1
"10","APA17","bgrnf",1
"11","APA18","bgpnf",1
"12","APA18","bgrnf",1
"13","APA19","ab",1
"14","APA19","bgrnf",1
"15","APA20","ab",1
"16","APA20","bgrnf",1
"17","APA21","bgpnf",1
"18","APA21","bgrnf",1
"19","APA5","bgrnf",1
"20","APA6","ab",1
"21","APA6","bgrnf",1
"22","APA7","ab",1
"23","APA7","bgpnf",1
"24","APA7","bgrnf",1
"25","APA8","bgrnf",1
"26","APC1","ab",1
"27","APC1","bgrnf",1
"28","APC10","ab",1
"29","APC10","bgrnf",1
"30","APC11","ab",1
"31","APC11","bgrnf",1
"32","APC12","ab",1
"33","APC12","bgpnf",1
"34","APC12","bgrnf",1
"35","APC13","bgpnf",1
"36","APC13","bgrnf",1
"37","APC14","bgrnf",1
"38","APC2","bgpnf",1
"39","APC2","bgrnf",1
"40","APC3","ab",1
"41","APC3","bgrnf",1
"42","APC4","ab",1
"43","APC4","bgpnf",1
"44","APC4","bgrnf",1
"45","APC5","bgpnf",1
"46","APC5","bgrnf",1
"47","APC6","ab",1
"48","APC6","bgrnf",1
"49","APC7","bgpnf",1
"50","APC7","bgrnf",1
"51","APC8","ab",1
"52","APC8","bgrnf",1
"53","APC9","bgrnf",1
