,Site,Sci_name,Weight,
4,APA10bgpnf,Cymbopogon sp.,2750,
6,APA10bgpnf,Heteropogon contortus,201,
11,APA10bgpnf,Spermacoce pusilla,180,
2,APA10bgpnf,Chrysopogon fulvus,30,
3,APA10bgpnf,Crotalaria hebecarpa,30,
9,APA10bgpnf,Leucas zeylanica,24,
1,APA10bgpnf,Aristida hystrix,21,
5,APA10bgpnf,Evolvulus alsinoides,11,
8,APA10bgpnf,Lepidagathis cristata,11,
10,APA10bgpnf,Pulicaria wightiana,10,
7,APA10bgpnf,Justicia vahlii,7,
18,APA10bgrnf,Heteropogon contortus,620,
21,APA10bgrnf,Oldenlandia umbellata,611,
16,APA10bgrnf,Cymbopogon sp.,120,
24,APA10bgrnf,Pulicaria wightiana,55,
20,APA10bgrnf,Mitracarpus hirtus,43,
12,APA10bgrnf,Andrographis echioides,41,
19,APA10bgrnf,Leucas zeylanica,41,
23,APA10bgrnf,Polygala javana,24,
13,APA10bgrnf,Chrysopogon fulvus,22,
14,APA10bgrnf,Crotalaria hebecarpa,17,
17,APA10bgrnf,Eragrostiella bifaria,11,
15,APA10bgrnf,Cyanthillium albicans,9,
22,APA10bgrnf,Phyllanthus virgatus,7,
27,APA12ab,Cymbopogon sp.,1485,
25,APA12ab,Arundinella nervosa,280,
31,APA12ab,Pulicaria wightiana,168,
30,APA12ab,Lepidagathis cristata,127,
28,APA12ab,Heteropogon contortus,44,
29,APA12ab,Justicia vahlii,36,
32,APA12ab,Spermacoce hispida,20,
26,APA12ab,Crotalaria hebecarpa,16,
33,APA12ab,Pentanema indicum,10,
38,APA12bgrnf,Heteropogon contortus,255,
36,APA12bgrnf,Chrysopogon fulvus,217,
40,APA12bgrnf,Oldenlandia umbellata,202,
42,APA12bgrnf,Pulicaria wightiana,31,
39,APA12bgrnf,Lepidagathis cristata,22,
37,APA12bgrnf,Evolvulus alsinoides,20,
44,APA12bgrnf,Spermacoce hispida,17,
45,APA12bgrnf,Spermacoce pusilla,15,
35,APA12bgrnf,Arundinella nervosa,12,
47,APA12bgrnf,Tridax procumbens,9,
34,APA12bgrnf,Alysicarpus monilifer,8,
41,APA12bgrnf,Polycarpaea corymbosa,7,
43,APA12bgrnf,Justicia procumbens,6,
46,APA12bgrnf,Trichuriella monsoniae,5,
49,APA15bgpnf,Cymbopogon sp.,950,
50,APA15bgpnf,Heteropogon contortus,210,
48,APA15bgpnf,Arundinella nervosa,150,
51,APA15bgpnf,Lepidagathis cristata,147,
53,APA15bgpnf,Spermacoce pusilla,89,
52,APA15bgpnf,Pulicaria wightiana,45,
56,APA16bgrnf,Heteropogon contortus,553,
55,APA16bgrnf,Chrysopogon fulvus,180,
58,APA16bgrnf,Pulicaria wightiana,51,
57,APA16bgrnf,Lepidagathis cristata,40,
59,APA16bgrnf,Spermacoce pusilla,37,
54,APA16bgrnf,Andrographis echioides,17,
60,APA16bgrnf,Tridax procumbens,12,
64,APA17bgpnf,Cymbopogon sp.,2625,
68,APA17bgpnf,Lepidagathis cristata,152,
62,APA17bgpnf,Arundinella nervosa,135,
70,APA17bgpnf,Pulicaria wightiana,120,
69,APA17bgpnf,Leucas aspera,80,
63,APA17bgpnf,Crotalaria hebecarpa,50,
66,APA17bgpnf,Heteropogon contortus,30,
72,APA17bgpnf,Spermacoce pusilla,25,
61,APA17bgpnf,Andrographis echioides,16,
67,APA17bgpnf,Justicia vahlii,9,
71,APA17bgpnf,Justicia procumbens,8,
73,APA17bgpnf,Merremia tridentata,6,
65,APA17bgpnf,Euphorbia rosea,5,
81,APA17bgrnf,Pulicaria wightiana,1075,
76,APA17bgrnf,Aristida funiculata,198,
82,APA17bgrnf,Justicia procumbens,74,
80,APA17bgrnf,Lepidagathis cristata,72,
75,APA17bgrnf,Apluda mutica,36,
78,APA17bgrnf,Euphorbia rosea,35,
77,APA17bgrnf,Crotalaria hebecarpa,26,
83,APA17bgrnf,Tricholepis radicans,25,
74,APA17bgrnf,Hybanthus enneaspermus,5,
79,APA17bgrnf,Justicia vahlii,5,
87,APA18bgpnf,Cymbopogon sp.,762,
89,APA18bgpnf,Heteropogon contortus,158,
84,APA18bgpnf,Arundinella nervosa,134,
86,APA18bgpnf,Cyanotis tuberosa,106,
94,APA18bgpnf,Tephrosia villosa,57,
91,APA18bgpnf,Mitracarpus hirtus,32,
90,APA18bgpnf,Lepidagathis cristata,21,
92,APA18bgpnf,Oldenlandia umbellata,12,
95,APA18bgpnf,Tridax procumbens,12,
85,APA18bgpnf,Cajanus scarabaeoides,11,
88,APA18bgpnf,Euphorbia rosea,8,
93,APA18bgpnf,Pulicaria wightiana,8,
96,APA18bgrnf,Arundinella nervosa,430,
103,APA18bgrnf,Spermacoce pusilla,107,
100,APA18bgrnf,Lepidagathis cristata,74,
99,APA18bgrnf,Heteropogon contortus,37,
98,APA18bgrnf,Cymbopogon sp.,13,
102,APA18bgrnf,Oldenlandia umbellata,12,
97,APA18bgrnf,Crotalaria pusilla,5,
101,APA18bgrnf,Mitracarpus hirtus,5,
104,APA19ab,Cymbopogon sp.,524,
108,APA19ab,Spermacoce pusilla,164,
106,APA19ab,Lepidagathis cristata,133,
107,APA19ab,Pulicaria wightiana,13,
109,APA19ab,Tridax procumbens,11,
105,APA19ab,Euphorbia rosea,6,
113,APA19bgrnf,Chrysopogon fulvus,715,
117,APA19bgrnf,Heteropogon contortus,339,
116,APA19bgrnf,Cymbopogon sp.,316,
120,APA19bgrnf,Spermacoce pusilla,305,
111,APA19bgrnf,Apluda mutica,106,
118,APA19bgrnf,Lepidagathis cristata,48,
112,APA19bgrnf,Arundinella nervosa,45,
114,APA19bgrnf,Crotalaria hebecarpa,44,
115,APA19bgrnf,Cyanotis tuberosa,31,
119,APA19bgrnf,Polycarpaea corymbosa,16,
110,APA19bgrnf,Andrographis echioides,10,
122,APA19bgrnf,Tridax procumbens,10,
121,APA19bgrnf,Tephrosia villosa,9,
126,APA1ab,Spermacoce pusilla,222,
124,APA1ab,Lepidagathis cristata,172,
123,APA1ab,Cyanotis tuberosa,12,
125,APA1ab,Pulicaria wightiana,7,
127,APA1ab,Tephrosia villosa,7,
133,APA1bgrnf,Lepidagathis cristata,267,
