,Family,Scientific_name,Functional_type,Functional_groups,Palatability
1,Euphorbiaceae,Acalypha scabrosa Sw.,Annual,Forb,No
2,Violaceae,Afrohybanthus enneaspermus (L.) Flicker,Perennial,Forb,Yes
3,Asteraceae,Ageratum conyzoides L.,Annual,Forb,No
4,Fabaceae,Alysicarpus monilifer (L.) DC.,Annual,Forb,Yes
5,Acanthaceae,Andrographis echioides (L.) Nees,Annual,Forb,Yes
6,Poaceae,Apluda mutica L.,Perennial,Graminoid,Yes
7,Poaceae,Apocopis mangalorensis (Hochst. ex Steud.) Henrard,Annual,Graminoid,Yes
8,Poaceae,Aristida adscensionis L.,Annual,Graminoid,Yes
9,Poaceae,Aristida funiculata Trin. & Rupr.,Annual,Graminoid,Yes
10,Poaceae,Aristida hystrix L.f.,Perennial,Graminoid,Yes
11,Poaceae,Aristida redacta Stapf,Annual,Graminoid,Yes
12,Poaceae,Aristida setacea Retz.,Annual,Graminoid,Yes
13,Poaceae,Arundinella nervosa (Roxb.) Nees ex Hook. & Arn.,Annual,Graminoid,Yes
14,Nyctaginaceae,Boerhavia diffusa L.,Perennial,Forb,No
15,Poaceae,Bothriochloa pertusa (L.) A.Camus,Perennial,Graminoid,Yes
16,Cyperaceae,Bulbostylis barbata (Rottb.) C.B.Clarke,Annual,Graminoid,Yes
17,Fabaceae,Cajanus scarabaeoides (L.) Thouars,Annual,Forb,Yes
18,Amaranthaceae,Celosia argentea L.,Annual,Forb,Yes
19,Fabaceae,Chamaecrista absus (L.) H.S.Irwin & Barneby,Annual,Forb,Yes
20,Fabaceae,Chamaecrista pumila (Lam.) V.Singh,Annual,Forb,Yes
21,Poaceae,Chrysopogon fulvus (Spreng.) Chiov.,Perennial,Graminoid,Yes
22,Fabaceae,Crotalaria evolvuloides Wight,Perennial,Forb,Yes
23,Fabaceae,Crotalaria hebecarpa (DC.) Rudd,Annual,Forb,Yes
24,Commelinaceae,Cyanotis tuberosa (Roxb.) Schult. & Schult.f.,Perennial,Forb,No
25,Asteraceae,Cyanthillium albicans (DC.) H.Rob.,Annual,Forb,Yes
26,Asteraceae,Cyanthillium cinereum (L.) H.Rob.,Annual,Forb,Yes
27,Poaceae,Cymbopogon caesius (Hook. & Arn.) Stapf,Perennial,Graminoid,No
28,Poaceae,Eragrostiella bifaria (Vahl) Bor,Perennial,Graminoid,Yes
29,Poaceae,Eragrostis tenella (L.) P.Beauv. ex Roem. & Schult.,Annual,Graminoid,Yes
30,Euphorbiaceae,Euphorbia deccanensis V.S.Raju,Annual,Forb,Yes
31,Euphorbiaceae,Euphorbia rosea Retz.,Annual,Forb,Yes
32,Convolvulaceae,Evolvulus alsinoides (L.) L.,Perennial,Forb,Yes
33,Poaceae,Heteropogon contortus (L.) P.Beauv. ex Roem. & Schult.,Perennial,Graminoid,Yes
34,Malvaceae,Hibiscus lobatus (Murray) Kuntze,Annual,Forb,No
35,Fabaceae,Indigofera glabra L.,Annual,Forb,Yes
36,Fabaceae,Indigofera linifolia (L.f.) Retz.,Annual,Forb,Yes
37,Acanthaceae,Justicia vahliana Schult.,Annual,Forb,Yes
38,Acanthaceae,Lepidagathis cristata Willd.,Perennial,Forb,Yes
39,Lamiaceae,Leucas aspera (Willd.) Link,Annual,Forb,No
40,Lamiaceae,Leucas zeylanica (L.) W.T.Aiton,Annual,Forb,No
